DS_IDENTIFICACAO_RECURSO,DT_AUTUACAO,DT_BAIXA,SG_UF_TRIBUNAL_ORIGEM,SG_UF_TRIBUNAL,NR_INSTANCIA_ORIGEM,NR_INSTANCIA,DT_DISTRIBUICAO,id_recurso
Processo,2022-08-06,2022-10-10,DF,DF,0,3,2022-08-06,1
Processo,2022-08-06,2022-10-10,DF,DF,0,3,2022-08-06,2
Processo,2022-08-06,2022-10-10,DF,DF,0,3,2022-08-06,3
Processo,2022-08-06,2022-10-10,DF,DF,0,3,2022-08-06,4
Processo,2022-08-06,2022-10-10,DF,DF,0,3,2022-08-06,5
Processo,2022-08-06,2022-10-10,DF,DF,0,3,2022-08-06,6
Processo,2023-03-29,,ES,DF,8,3,2023-03-29,7
Processo,2023-03-29,,ES,DF,8,3,2023-03-29,8
Processo,2023-03-28,,AP,DF,0,3,2023-03-28,9
Processo,2023-03-28,,AP,DF,0,3,2023-03-28,10
Processo,2023-04-20,,CE,DF,6,3,2023-04-20,11
Processo,2023-04-20,,CE,DF,6,3,2023-04-20,12
Processo,2023-04-12,,ES,DF,8,3,2023-04-12,13
Processo,2023-04-12,,ES,DF,8,3,2023-04-12,14
Processo,2022-10-19,,DF,DF,0,3,2022-10-19,15
Processo,2022-07-25,,DF,DF,0,3,2023-03-17,16
Processo,2022-07-25,,DF,DF,0,3,2023-03-17,17
Processo,2022-10-17,2022-11-21,DF,DF,0,3,2022-10-17,18
Processo,2022-10-17,2022-11-21,DF,DF,0,3,2022-10-17,19
Processo,2023-05-19,2023-10-03,GO,DF,9,3,2023-05-19,20
Processo,2023-05-19,2023-10-03,GO,DF,9,3,2023-05-19,21
Processo,2023-05-19,2023-10-03,GO,DF,9,3,2023-05-19,22
Processo,2022-08-01,2022-10-10,DF,DF,0,3,2022-08-01,23
Processo,2022-08-01,2022-10-10,DF,DF,0,3,2022-08-01,24
Processo,2022-08-01,2022-10-10,DF,DF,0,3,2022-08-01,25
Processo,2022-08-01,2022-10-10,DF,DF,0,3,2022-08-01,26
Processo,2022-08-01,2022-10-10,DF,DF,0,3,2022-08-01,27
Processo,2022-10-06,2022-11-23,DF,DF,0,3,2022-10-06,28
Processo,2022-10-06,2022-11-23,DF,DF,0,3,2022-10-06,29
Processo,2022-09-06,2022-11-11,DF,DF,0,3,2022-09-06,30
Processo,2022-09-06,2022-11-11,DF,DF,0,3,2022-09-06,31
Processo,2022-10-09,2023-02-02,MG,DF,13,3,2022-10-09,32
Processo,2022-10-09,2023-02-02,MG,DF,13,3,2022-10-09,33
Processo,2022-09-02,2022-11-11,DF,DF,0,3,2022-09-07,34
