DT_GERACAO;HH_GERACAO;ANO_ELEICAO;DS_IDENTIFICACAO_RECURSO;NR_RECURSO;DT_AUTUACAO;DT_BAIXA;NR_PROCESSO_ORIGEM;SG_UF_TRIBUNAL_ORIGEM;NR_INSTANCIA_ORIGEM;SG_UF_TRIBUNAL;NR_INSTANCIA;DT_DISTRIBUICAO;CD_TIPO_DISTRIBUICAO;DS_TIPO_DISTRIBUICAO;CD_RELATOR;NM_RELATOR;CD_TIPO_CARGO_RELATOR;DS_TIPO_CARGO_RELATOR;CD_CLASSE;SG_CLASSE;DS_CLASSE;CD_ASSUNTO_PRINCIPAL;DS_ASSUNTO_PRINCIPAL;DS_TIPO_RECURSO;DS_NATUREZA_RECURSO;ST_CONCLUSO;QT_DECISOES;DT_ULTIMA_DECISAO;DS_ULTIMA_DECISAO
03/12/2023;05:04:53;2022;Processo;158204058;18/09/2022;23/11/2022;0601161-21.2022.6.00.0000;DF;0;DF;3;18/09/2022;;;49;Juiz Auxiliar - Ministro Paulo de Tarso Vieira Sanseverino;72;Juiz Auxiliar;12625;DR;DIREITO DE RESPOSTA;11593;Direito de Resposta;Recurso;Interno;0;2;07/nov/22;
03/12/2023;05:04:53;2022;Processo;158095924;18/09/2022;23/11/2022;0601161-21.2022.6.00.0000;DF;0;DF;3;18/09/2022;;;49;Juiz Auxiliar - Ministro Paulo de Tarso Vieira Sanseverino;72;Juiz Auxiliar;12625;DR;DIREITO DE RESPOSTA;11593;Direito de Resposta;Impugnação;Interno;0;2;07/nov/22;
03/12/2023;05:04:53;2022;Processo;158236789;12/10/2022;03/11/2022;0601430-60.2022.6.00.0000;DF;0;DF;3;12/10/2022;;;46;Juíza Auxiliar - Ministra Maria Claudia Bucchianeri;61;Juíz Auxiliar;12625;DR;DIREITO DE RESPOSTA;11593;Direito de Resposta;Impugnação;Interno;0;1;31-OCT-22;
03/12/2023;05:04:53;2022;Processo;158266445;16/10/2022;11/11/2022;0601528-45.2022.6.00.0000;DF;0;DF;3;16/10/2022;;;46;Juíza Auxiliar - Ministra Maria Claudia Bucchianeri;61;Juíz Auxiliar;12625;DR;DIREITO DE RESPOSTA;11593;Direito de Resposta;Embargos de Declaração;Interno;0;4;23-FEB-23;
03/12/2023;05:04:53;2022;Processo;158266446;16/10/2022;11/11/2022;0601528-45.2022.6.00.0000;DF;0;DF;3;16/10/2022;;;46;Juíza Auxiliar - Ministra Maria Claudia Bucchianeri;61;Juíz Auxiliar;12625;DR;DIREITO DE RESPOSTA;11593;Direito de Resposta;Embargos de Declaração;Interno;0;4;23-FEB-23;
03/12/2023;05:04:53;2022;Processo;158231701;10/10/2022;05/12/2022;0601410-69.2022.6.00.0000;DF;0;DF;3;10/10/2022;;;45;Juíza Auxiliar;60;Juíz Auxiliar;12625;DR;DIREITO DE RESPOSTA;11593;Direito de Resposta;Impugnação;Interno;0;0;;
03/12/2023;05:04:53;2022;Processo;159528578;29/09/2022;;0601307-62.2022.6.00.0000;DF;0;DF;3;23/08/2023;;;8;Ministro Floriano de Azevedo Marques;13;Ministro;11541;Rp;REPRESENTAÇÃO;11483;Divulgação de Fatos Inverídicos na Propaganda Eleitoral;Recurso;Interno;1;4;18-MAY-23;
03/12/2023;05:04:53;2022;Processo;159528240;29/09/2022;;0601307-62.2022.6.00.0000;DF;0;DF;3;23/08/2023;;;8;Ministro Floriano de Azevedo Marques;13;Ministro;11541;Rp;REPRESENTAÇÃO;11483;Divulgação de Fatos Inverídicos na Propaganda Eleitoral;Embargos de Declaração;Interno;1;4;18-MAY-23;
03/12/2023;05:04:53;2022;Processo;159528241;29/09/2022;;0601307-62.2022.6.00.0000;DF;0;DF;3;23/08/2023;;;8;Ministro Floriano de Azevedo Marques;13;Ministro;11541;Rp;REPRESENTAÇÃO;11483;Divulgação de Fatos Inverídicos na Propaganda Eleitoral;Embargos de Declaração;Interno;1;4;18-MAY-23;
03/12/2023;05:04:53;2022;Processo;159521025;29/09/2022;;0601307-62.2022.6.00.0000;DF;0;DF;3;23/08/2023;;;8;Ministro Floriano de Azevedo Marques;13;Ministro;11541;Rp;REPRESENTAÇÃO;11483;Divulgação de Fatos Inverídicos na Propaganda Eleitoral;Embargos de Declaração;Interno;1;4;18-MAY-23;
